bssid,ssid,signal_strength,channel,frequency,encryption,vendor,timestamp,is_rogue
f3:71:ea:6b:1c:8c,Admin_311,-44.8,1,2412,WPA2/WPA3,TP-Link,2025-12-07 16:07:47,0
53:8e:54:bc:e7:1f,Staff_179,-56.4,157,5785,WPA,TP-Link,2025-12-07 16:07:47,0
c5:dd:dd:81:4e:6f,Company_29,-45.8,36,5180,WPA2,Ruckus,2025-12-07 16:07:47,0
35:8c:8e:bf:d4:db,Home_Network_134,-33.7,149,5745,WPA2/WPA3,Google,2025-12-07 16:07:47,0
e4:06:f9:e2:78:33,Company_998,-45.1,44,5220,WPA2/WPA3,Qualcomm,2025-12-07 16:07:47,0
28:e8:40:9d:38:a9,Admin_309,-57.6,1,2412,WPA2,Motorola,2025-12-07 16:07:47,0
e1:e2:90:c8:53:1d,LAN_653,-52.4,40,5200,WPA2,Xiaomi,2025-12-07 16:07:47,0
d3:82:b7:80:ec:c5,WLAN_42,-66.0,1,2412,WPA2,Zyxel,2025-12-07 16:07:47,0
fc:6a:b9:9b:81:be,Office_WiFi_262,-44.2,165,5825,WPA,Apple,2025-12-07 16:07:47,0
db:2f:71:d0:8e:f7,MainOffice_271,-37.6,149,5745,WPA,Zyxel,2025-12-07 16:07:47,0
dc:7b:0a:78:ac:25,MainOffice_435,-26.1,36,5180,WPA2,Amazon,2025-12-07 16:07:47,0
7e:8e:98:73:98:93,LAN_693,-60.3,157,5785,WPA,Belkin,2025-12-07 16:07:47,0
d2:60:0e:72:46:29,MainOffice_393,-58.3,161,5805,WPA,Meraki,2025-12-07 16:07:47,0
e3:2a:90:54:09:ee,Private_831,-50.0,6,2437,WPA,Belkin,2025-12-07 16:07:47,0
2e:d9:7c:ee:08:b9,Staff_114,-39.2,48,5240,WPA3,ASUS,2025-12-07 16:07:47,0
ba:78:df:dd:07:ff,Public_WiFi,-16.8,4,2427,,Anonymous,2025-12-07 16:07:47,1
ee:a3:12:93:37:94,Free_Net,-25.9,14,2477,Open,Open,2025-12-07 16:07:47,1
63:b7:33:c1:50:4a,Access_424,-53.1,11,2462,WPA,Qualcomm,2025-12-07 16:07:47,0
c8:92:fd:47:cd:3f,Router_900,-52.2,36,5180,WPA2,ASUS,2025-12-07 16:07:47,0
35:01:d3:60:ce:eb,Private_371,-46.4,153,5765,WPA,D-Link,2025-12-07 16:07:47,0
a4:0e:0d:a9:0e:f0,WLAN_209,-64.9,48,5240,WPA2/WPA3,Motorola,2025-12-07 16:07:47,0
53:09:b5:7e:c5:a4,Free_Net,-23.0,2,2417,Open,Demo,2025-12-07 16:07:47,1
e1:9e:c6:03:6f:1d,Private_108,-40.5,11,2462,WPA,Ruckus,2025-12-07 16:07:47,0
95:ce:e8:7a:38:02,Server_19,-44.8,153,5765,WPA,Buffalo,2025-12-07 16:07:47,0
7f:4c:5b:29:0c:6b,WLAN_915,-50.9,6,2437,WPA2/WPA3,TP-Link,2025-12-07 16:07:47,0
30:b7:1d:54:ae:ef,Work_776,-55.4,157,5785,WPA,Ruckus,2025-12-07 16:07:47,0
ae:c2:31:db:b0:b6,Router_132,-65.5,44,5220,WPA2,Microsoft,2025-12-07 16:07:47,0
76:ee:47:70:fe:5a,Router_546,-56.1,165,5825,WPA,Cisco,2025-12-07 16:07:47,0
dd:0a:cd:96:03:c7,MainOffice_664,-43.4,44,5220,WPA,Samsung,2025-12-07 16:07:47,0
d7:fb:a7:eb:d3:73,Office_WiFi_944,-44.8,36,5180,WPA2/WPA3,Netgear,2025-12-07 16:07:47,0
c5:ad:5f:fe:fe:bc,Router_128,-45.8,48,5240,WPA,Huawei,2025-12-07 16:07:47,0
5d:e5:0a:fb:b0:ad,Home_Network_786,-51.2,157,5785,WPA2/WPA3,Huawei,2025-12-07 16:07:47,0
01:aa:0d:ae:6e:05,Network_248,-47.8,165,5825,WPA2/WPA3,Cisco,2025-12-07 16:07:47,0
25:95:9d:29:db:da,Office_WiFi_981,-52.9,161,5805,WPA,Samsung,2025-12-07 16:07:47,0
ee:14:42:4e:69:02,WLAN_433,-44.0,44,5220,WPA2,Xiaomi,2025-12-07 16:07:47,0
62:08:76:9c:40:8f,MainOffice_96,-66.5,40,5200,WPA2,Linksys,2025-12-07 16:07:47,0
0a:89:14:59:f0:e2,LAN_619,-81.4,1,2412,WPA2,Buffalo,2025-12-07 16:07:47,0
54:6e:55:c5:fc:0d,Guest_448,-65.4,157,5785,WPA2/WPA3,Zyxel,2025-12-07 16:07:47,0
fa:7f:2a:48:ce:f2,Secure_Network_148,-52.4,6,2437,WPA3,Belkin,2025-12-07 16:07:47,0
f1:3e:90:b0:3a:62,Free_WiFi,-21.3,4,2427,Open,Anonymous,2025-12-07 16:07:47,1
ed:9e:eb:f1:fe:82,Private_703,-64.5,40,5200,WPA3,Aruba,2025-12-07 16:07:47,0
44:09:2d:e8:fe:29,Server_856,-43.0,165,5825,WPA2,Cisco,2025-12-07 16:07:47,0
7c:14:a4:c3:3a:c5,Router_685,-57.2,149,5745,WPA3,Microsoft,2025-12-07 16:07:47,0
3e:3d:2c:42:c0:5e,Secure_Network_635,-55.9,1,2412,WPA3,Amazon,2025-12-07 16:07:47,0
0d:ad:31:63:68:36,Secure_Network_387,-33.3,44,5220,WPA2/WPA3,Amazon,2025-12-07 16:07:47,0
59:3e:53:6b:3d:fa,Access_790,-43.5,157,5785,WPA2,Linksys,2025-12-07 16:07:47,0
84:55:25:7e:ff:65,Router_948,-44.1,165,5825,WPA2/WPA3,Google,2025-12-07 16:07:47,0
02:8b:60:fc:79:1e,Family_224,-45.3,11,2462,WPA3,Meraki,2025-12-07 16:07:47,0
40:71:31:c7:46:ad,Free_Connection,-24.1,9,2452,Open,Generic,2025-12-07 16:07:47,1
4f:a7:d3:67:a8:da,Free_WiFi,-43.2,2,2417,Open,Test,2025-12-07 16:07:47,1
0f:91:6a:08:d4:94,Guest_Access,-19.6,7,2442,,Suspicious,2025-12-07 16:07:47,1
34:f1:76:e0:98:3f,Private_12,-38.4,153,5765,WPA2/WPA3,Samsung,2025-12-07 16:07:47,0
fa:fb:eb:56:b4:56,Server_512,-40.9,161,5805,WPA2/WPA3,Motorola,2025-12-07 16:07:47,0
95:9d:51:9c:f3:e1,Router_902,-43.2,157,5785,WPA2/WPA3,Qualcomm,2025-12-07 16:07:47,0
2b:6d:76:b0:36:63,Server_137,-43.4,153,5765,WPA3,Motorola,2025-12-07 16:07:47,0
89:41:92:f4:31:21,Free_Connection,-17.1,5,2432,WEP,Public,2025-12-07 16:07:47,1
97:1b:7a:fd:c5:39,Admin_211,-48.4,157,5785,WPA3,Aruba,2025-12-07 16:07:47,0
38:8e:d1:ab:d5:b6,Family_953,-14.2,6,2437,WPA,ASUS,2025-12-07 16:07:47,0
d9:be:1b:36:25:f4,Family_121,-47.4,48,5240,WPA2,Qualcomm,2025-12-07 16:07:47,0
8f:3a:86:7e:db:65,Family_254,-56.2,165,5825,WPA3,Buffalo,2025-12-07 16:07:47,0
a8:7c:b9:76:e9:a1,LAN_325,-46.9,36,5180,WPA2/WPA3,Buffalo,2025-12-07 16:07:47,0
61:42:ed:19:b5:bb,Staff_45,-61.1,6,2437,WPA,Qualcomm,2025-12-07 16:07:47,0
d6:26:2e:b9:b0:75,Public_Connection,-25.5,4,2427,WEP,Test,2025-12-07 16:07:47,1
23:cb:4d:d6:04:0f,Network_930,-43.2,1,2412,WPA2,Netgear,2025-12-07 16:07:47,0
d8:b9:09:b9:9e:5c,Family_833,-61.0,161,5805,WPA2,Microsoft,2025-12-07 16:07:47,0
2b:b8:22:0a:c7:f0,Router_630,-64.8,36,5180,WPA,Cisco,2025-12-07 16:07:47,0
a5:54:29:2a:61:f6,Home_Network_794,-56.6,165,5825,WPA2,Linksys,2025-12-07 16:07:47,0
c7:2c:fa:cf:bf:f8,Free_Net,-35.6,10,2457,WEP,Free,2025-12-07 16:07:47,1
3f:31:ca:6f:6c:38,Access_241,-57.7,153,5765,WPA3,Aruba,2025-12-07 16:07:47,0
06:d6:b7:99:f4:86,Home_Network_566,-34.7,11,2462,WPA3,Motorola,2025-12-07 16:07:47,0
55:23:f2:03:e8:83,Private_812,-54.7,149,5745,WPA2,Google,2025-12-07 16:07:47,0
63:ab:e0:0c:e1:23,Secure_Network_518,-45.3,36,5180,WPA3,Microsoft,2025-12-07 16:07:47,0
6a:02:a5:ae:f6:11,Private_135,-39.2,44,5220,WPA2/WPA3,Linksys,2025-12-07 16:07:47,0
c2:e0:26:a9:0a:17,Router_4,-51.6,40,5200,WPA2/WPA3,Google,2025-12-07 16:07:47,0
b7:8a:67:ab:41:10,Guest_140,-42.4,165,5825,WPA3,Microsoft,2025-12-07 16:07:47,0
9f:9c:f0:e5:d9:2f,LAN_807,-45.5,48,5240,WPA,Linksys,2025-12-07 16:07:47,0
c0:f9:60:49:1f:4b,Office_WiFi_396,-56.9,11,2462,WPA2/WPA3,Buffalo,2025-12-07 16:07:47,0
dc:6d:35:9e:80:2a,Corporate_22,-72.4,48,5240,WPA3,Ruckus,2025-12-07 16:07:47,0
6f:3d:0e:86:7e:8d,WLAN_481,-58.9,48,5240,WPA2,Cisco,2025-12-07 16:07:47,0
af:aa:b1:63:89:bd,Open_Network,-25.8,9,2452,WEP,Unidentified,2025-12-07 16:07:47,1
c2:b7:0e:42:f7:f9,MainOffice_822,-53.5,161,5805,WPA,Cisco,2025-12-07 16:07:47,0
ba:09:2b:b8:bc:90,Guest_364,-51.1,149,5745,WPA2,D-Link,2025-12-07 16:07:47,0
0e:81:fd:b0:f5:95,Connect_Here,-24.7,10,2457,,Unidentified,2025-12-07 16:07:47,1
77:e7:8b:be:e3:16,Network_398,-45.1,48,5240,WPA,Buffalo,2025-12-07 16:07:47,0
a1:b1:22:4a:82:e7,MainOffice_994,-61.1,36,5180,WPA2/WPA3,Xiaomi,2025-12-07 16:07:47,0
1c:fc:da:6c:6a:0b,Open_Access,-37.7,5,2432,WEP,Unknown,2025-12-07 16:07:47,1
d0:d5:1d:ca:5d:a3,Home_Network_24,-48.0,6,2437,WPA2/WPA3,Cisco,2025-12-07 16:07:47,0
f7:63:68:91:77:15,Internet_Access,-25.0,3,2422,WEP,Demo,2025-12-07 16:07:47,1
6a:dc:de:af:78:58,Staff_998,-50.8,48,5240,WPA2,Ubiquiti,2025-12-07 16:07:47,0
e0:77:da:76:7c:3a,Server_587,-79.1,44,5220,WPA,Intel,2025-12-07 16:07:47,0
70:d8:79:a2:43:ef,Work_81,-39.0,1,2412,WPA,ASUS,2025-12-07 16:07:47,0
55:a6:ba:7d:68:a3,Server_242,-61.4,153,5765,WPA3,Buffalo,2025-12-07 16:07:47,0
02:49:67:67:d0:da,Admin_71,-39.3,157,5785,WPA,Zyxel,2025-12-07 16:07:47,0
aa:27:1f:44:4e:e4,Router_355,-67.6,157,5785,WPA3,Ruckus,2025-12-07 16:07:47,0
35:e3:6d:e8:6d:78,Staff_822,-43.4,36,5180,WPA2,Cisco,2025-12-07 16:07:47,0
dc:28:e4:06:2d:a3,Router_506,-40.2,165,5825,WPA2,Amazon,2025-12-07 16:07:47,0
f6:9e:e7:ac:c1:f3,Router_561,-41.1,6,2437,WPA2,Meraki,2025-12-07 16:07:47,0
5c:0c:a8:32:95:d3,Main_833,-30.3,161,5805,WPA2,Belkin,2025-12-07 16:07:47,0
3f:21:37:92:ec:c3,Main_825,-27.7,165,5825,WPA3,Meraki,2025-12-07 16:07:47,0
94:6a:24:0f:b3:28,Connect_Here,-17.7,13,2472,Open,Test,2025-12-07 16:07:47,1
bd:c6:62:ca:f1:75,WiFi_Free,-16.9,5,2432,WEP,Anonymous,2025-12-07 16:07:47,1
81:20:09:c7:32:df,Home_Network_212,-63.2,40,5200,WPA2/WPA3,Motorola,2025-12-07 16:07:47,0
ed:a5:4c:cf:ca:9c,Open_Access,-25.8,2,2417,,Public,2025-12-07 16:07:47,1
3e:c8:dd:76:58:43,Staff_342,-51.8,44,5220,WPA2/WPA3,Xiaomi,2025-12-07 16:07:47,0
db:f4:f2:9f:cd:44,Family_180,-50.3,40,5200,WPA3,Huawei,2025-12-07 16:07:47,0
6d:d9:8f:65:67:3f,Open_Access,-8.4,4,2427,,Free,2025-12-07 16:07:47,1
87:16:eb:3f:c1:28,Private_390,-31.7,44,5220,WPA2/WPA3,Amazon,2025-12-07 16:07:47,0
e9:5a:14:88:8e:2e,Work_817,-59.0,165,5825,WPA3,Buffalo,2025-12-07 16:07:47,0
a2:23:bd:1f:54:a3,Access_773,-65.9,48,5240,WPA3,Motorola,2025-12-07 16:07:47,0
c5:47:3b:f8:a2:da,Guest_341,-44.6,149,5745,WPA2/WPA3,Meraki,2025-12-07 16:07:47,0
10:a3:37:96:c3:77,Main_976,-38.5,153,5765,WPA2,Ruckus,2025-12-07 16:07:47,0
de:62:2c:0c:31:68,WLAN_696,-43.7,36,5180,WPA3,Cisco,2025-12-07 16:07:47,0
33:ac:9a:a5:45:50,Secure_Network_984,-42.7,44,5220,WPA,Google,2025-12-07 16:07:47,0
88:d6:a2:28:b2:6b,Family_9,-35.2,44,5220,WPA2/WPA3,Belkin,2025-12-07 16:07:47,0
43:10:75:1e:c6:bd,Secure_Network_109,-47.6,165,5825,WPA3,Meraki,2025-12-07 16:07:47,0
e7:8b:fb:60:a4:09,Private_297,-62.7,161,5805,WPA,Amazon,2025-12-07 16:07:47,0
54:8d:39:4b:fe:4d,Work_401,-56.1,40,5200,WPA2,ASUS,2025-12-07 16:07:47,0
d1:b9:28:b4:27:b9,Private_767,-56.6,165,5825,WPA3,Huawei,2025-12-07 16:07:47,0
59:af:b4:85:cf:87,Connect_Here,-20.1,2,2417,Open,Unknown,2025-12-07 16:07:47,1
b7:38:90:0f:78:dd,Router_64,-54.6,153,5765,WPA2,TP-Link,2025-12-07 16:07:47,0
08:8c:92:08:dc:5b,Home_Network_17,-55.8,153,5765,WPA,TP-Link,2025-12-07 16:07:47,0
d1:2b:e9:72:8f:3a,LAN_602,-36.5,44,5220,WPA2/WPA3,Samsung,2025-12-07 16:07:47,0
3b:85:2f:61:8e:59,Main_127,-61.3,11,2462,WPA,Qualcomm,2025-12-07 16:07:47,0
81:b0:ac:55:a5:59,Work_989,-49.9,48,5240,WPA2,Meraki,2025-12-07 16:07:47,0
26:07:a1:75:17:4b,Private_935,-56.1,165,5825,WPA,Amazon,2025-12-07 16:07:47,0
b4:74:a2:9c:33:2e,Work_800,-43.2,149,5745,WPA2,Ubiquiti,2025-12-07 16:07:47,0
e8:fb:d8:f3:e0:bd,Access_501,-45.0,6,2437,WPA,Qualcomm,2025-12-07 16:07:47,0
81:e7:3c:d8:b7:ce,Company_124,-50.2,11,2462,WPA2,Linksys,2025-12-07 16:07:47,0
57:da:45:c5:af:91,Office_WiFi_871,-53.7,149,5745,WPA,Google,2025-12-07 16:07:47,0
c3:b7:97:97:0b:ca,Access_204,-58.4,149,5745,WPA2,Buffalo,2025-12-07 16:07:47,0
e9:31:af:86:20:bb,Work_346,-24.3,40,5200,WPA2/WPA3,Xiaomi,2025-12-07 16:07:47,0
51:2c:a4:f4:1c:d0,Main_664,-61.6,6,2437,WPA3,TP-Link,2025-12-07 16:07:47,0
8e:48:31:69:56:0e,LAN_296,-63.4,157,5785,WPA2,Buffalo,2025-12-07 16:07:47,0
61:37:5e:72:96:48,Admin_791,-84.5,40,5200,WPA3,Cisco,2025-12-07 16:07:47,0
c2:d7:cc:33:b5:b8,Private_521,-49.5,149,5745,WPA2,TP-Link,2025-12-07 16:07:47,0
f0:97:0e:a9:6b:c2,Family_747,-51.8,44,5220,WPA,Intel,2025-12-07 16:07:47,0
ee:1b:01:90:3d:cf,Router_726,-55.0,165,5825,WPA2/WPA3,Belkin,2025-12-07 16:07:47,0
07:ce:d5:1f:21:62,MainOffice_928,-39.6,165,5825,WPA2/WPA3,Samsung,2025-12-07 16:07:47,0
51:cd:4c:54:d4:59,Server_526,-56.9,1,2412,WPA2,Huawei,2025-12-07 16:07:47,0
b3:04:36:5d:b4:cf,Server_173,-42.5,11,2462,WPA3,Cisco,2025-12-07 16:07:47,0
2d:0a:5b:fa:df:16,MainOffice_726,-60.8,40,5200,WPA2,Netgear,2025-12-07 16:07:47,0
f8:92:19:f8:f5:88,Access_930,-52.2,6,2437,WPA3,Belkin,2025-12-07 16:07:47,0
97:0c:88:5b:96:b6,Router_52,-41.6,40,5200,WPA,Ubiquiti,2025-12-07 16:07:47,0
43:6c:0b:56:3f:bb,Access_971,-67.4,1,2412,WPA3,Buffalo,2025-12-07 16:07:47,0
65:f9:ca:64:7e:7c,Family_793,-13.1,11,2462,WPA,Apple,2025-12-07 16:07:47,0
15:1d:7d:04:4f:35,Main_699,-50.8,153,5765,WPA,Motorola,2025-12-07 16:07:47,0
b0:f4:0b:77:a0:a4,Home_Network_133,-41.9,149,5745,WPA3,Netgear,2025-12-07 16:07:47,0
90:3a:a6:0f:45:82,Network_692,-62.0,1,2412,WPA2/WPA3,Samsung,2025-12-07 16:07:47,0
78:9f:2b:21:9c:3a,Router_422,-54.0,1,2412,WPA3,Buffalo,2025-12-07 16:07:47,0
b9:74:74:7c:8d:e6,Staff_71,-43.1,6,2437,WPA2,Intel,2025-12-07 16:07:47,0
b0:99:d9:80:e9:9a,Server_694,-38.4,11,2462,WPA2,Huawei,2025-12-07 16:07:47,0
f0:aa:bf:fc:71:40,Secure_Network_393,-46.2,157,5785,WPA2,Apple,2025-12-07 16:07:47,0
f9:f5:83:fe:c4:2a,Admin_876,-43.2,48,5240,WPA,Cisco,2025-12-07 16:07:47,0
09:ea:4b:ad:5e:ef,WLAN_667,-48.8,40,5200,WPA2/WPA3,TP-Link,2025-12-07 16:07:47,0
f0:d4:1c:ae:e0:e5,Corporate_121,-49.6,36,5180,WPA2,Linksys,2025-12-07 16:07:47,0
9a:c3:9d:d2:2d:37,Main_898,-39.3,11,2462,WPA,Motorola,2025-12-07 16:07:47,0
52:82:02:a9:ee:4f,LAN_439,-47.8,153,5765,WPA2/WPA3,D-Link,2025-12-07 16:07:47,0
19:91:ff:90:29:2e,Company_242,-54.1,165,5825,WPA,Zyxel,2025-12-07 16:07:47,0
0d:f2:87:74:1a:f5,Private_690,-32.6,48,5240,WPA2/WPA3,Qualcomm,2025-12-07 16:07:47,0
78:89:13:2c:ba:6b,Company_49,-49.3,153,5765,WPA2/WPA3,Google,2025-12-07 16:07:47,0
00:62:57:c8:fb:37,Office_WiFi_103,-39.7,157,5785,WPA2,Netgear,2025-12-07 16:07:47,0
15:20:e7:0a:7d:d1,Admin_18,-64.5,36,5180,WPA2/WPA3,Xiaomi,2025-12-07 16:07:47,0
37:87:20:77:9d:61,Main_335,-56.5,48,5240,WPA2/WPA3,Intel,2025-12-07 16:07:47,0
13:ae:8c:45:e9:6c,Guest_265,-45.3,6,2437,WPA3,TP-Link,2025-12-07 16:07:47,0
49:af:5c:6d:8a:2a,Secure_Network_148,-38.6,161,5805,WPA,TP-Link,2025-12-07 16:07:47,0
a8:5a:39:5f:34:b6,LAN_367,-47.5,153,5765,WPA,Amazon,2025-12-07 16:07:47,0
44:f7:5b:5e:4b:34,Free_Internet,-33.0,9,2452,WEP,Unidentified,2025-12-07 16:07:47,1
f2:56:1a:95:0d:92,MainOffice_745,-43.1,40,5200,WPA2,Microsoft,2025-12-07 16:07:47,0
f8:23:40:41:f3:54,Office_WiFi_246,-70.7,36,5180,WPA2,Linksys,2025-12-07 16:07:47,0
b6:2c:14:54:9e:a9,Family_34,-40.2,40,5200,WPA2/WPA3,Intel,2025-12-07 16:07:47,0
7f:f8:0e:eb:33:87,Free_Connection,-41.8,3,2422,Open,Unknown,2025-12-07 16:07:47,1
ce:1c:02:54:41:7f,Family_345,-52.9,149,5745,WPA2/WPA3,Microsoft,2025-12-07 16:07:47,0
99:91:47:c1:7e:35,MainOffice_242,-36.8,157,5785,WPA3,Ruckus,2025-12-07 16:07:47,0
d1:58:97:5c:15:dc,Corporate_447,-34.3,149,5745,WPA3,Microsoft,2025-12-07 16:07:47,0
dc:fc:c3:65:6a:78,Server_310,-51.8,149,5745,WPA,Netgear,2025-12-07 16:07:47,0
4a:4b:f0:9e:af:95,Main_599,-44.1,153,5765,WPA2/WPA3,Zyxel,2025-12-07 16:07:47,0
98:17:0d:6e:a5:01,Guest_498,-40.6,48,5240,WPA2/WPA3,Linksys,2025-12-07 16:07:47,0
7c:3a:d0:f2:b4:2d,Access_288,-42.5,161,5805,WPA2,Aruba,2025-12-07 16:07:47,0
cd:fc:49:1f:dd:e2,WLAN_732,-49.5,11,2462,WPA3,ASUS,2025-12-07 16:07:47,0
55:18:3a:6a:06:ff,MainOffice_91,-44.2,36,5180,WPA2,Aruba,2025-12-07 16:07:47,0
95:29:f2:3b:9d:cb,Private_205,-34.3,1,2412,WPA3,Cisco,2025-12-07 16:07:47,0
84:24:e3:d7:fe:a0,Guest_830,-67.4,149,5745,WPA2/WPA3,Qualcomm,2025-12-07 16:07:47,0
31:8b:56:14:e2:d0,Free_Access,-34.4,4,2427,WEP,Generic,2025-12-07 16:07:47,1
84:36:51:ff:ff:37,Private_776,-49.7,165,5825,WPA,Ubiquiti,2025-12-07 16:07:47,0
a8:98:45:4a:85:4f,Free_WiFi,-28.4,4,2427,,Anonymous,2025-12-07 16:07:47,1
66:98:2d:26:a2:f1,WLAN_83,-18.6,157,5785,WPA,Ruckus,2025-12-07 16:07:47,0
38:b4:d6:7e:99:b3,Main_980,-54.4,6,2437,WPA,Samsung,2025-12-07 16:07:47,0
05:7d:d1:7f:56:76,Open_Network,-29.5,12,2467,Open,Guest,2025-12-07 16:07:47,1
ab:6f:a9:1a:d2:dd,Office_WiFi_291,-49.4,6,2437,WPA3,Linksys,2025-12-07 16:07:47,0
eb:22:b1:53:6b:2f,Secure_Network_661,-50.9,157,5785,WPA2/WPA3,ASUS,2025-12-07 16:07:47,0
14:bb:bb:59:22:68,Access_114,-55.7,44,5220,WPA,Amazon,2025-12-07 16:07:47,0
3a:64:ab:99:a4:ce,Open_Access,-9.7,10,2457,WEP,Suspicious,2025-12-07 16:07:47,1
71:4e:88:14:24:2e,Free_Access,-25.8,12,2467,Open,Guest,2025-12-07 16:07:47,1
2e:fe:72:72:7d:b1,Public_Net,-39.0,4,2427,WEP,Demo,2025-12-07 16:07:47,1
36:95:81:4e:b1:4e,Work_976,-55.8,165,5825,WPA2,Microsoft,2025-12-07 16:07:47,0
e0:2a:c3:7a:ea:df,WLAN_914,-50.9,36,5180,WPA,Apple,2025-12-07 16:07:47,0
04:0d:fd:21:8c:18,Staff_30,-47.6,6,2437,WPA2/WPA3,Samsung,2025-12-07 16:07:47,0
ce:9e:b3:0d:ad:38,Server_539,-59.1,1,2412,WPA,Ubiquiti,2025-12-07 16:07:47,0
80:ab:0a:21:fc:d8,Work_856,-51.7,149,5745,WPA3,Motorola,2025-12-07 16:07:47,0
ba:98:34:6a:7f:ff,Company_131,-69.6,149,5745,WPA,Motorola,2025-12-07 16:07:47,0
c7:d8:7d:19:6f:4e,Work_123,-55.4,40,5200,WPA3,Ruckus,2025-12-07 16:07:47,0
31:db:a2:10:62:94,Family_508,-62.0,40,5200,WPA2,Amazon,2025-12-07 16:07:47,0
7c:a5:88:1e:31:38,Secure_Network_969,-43.0,40,5200,WPA3,Belkin,2025-12-07 16:07:47,0
7b:6f:12:bd:25:09,WLAN_813,-53.5,165,5825,WPA2,TP-Link,2025-12-07 16:07:47,0
26:d7:06:36:2a:ae,Guest_WiFi,-13.1,2,2417,,Unknown,2025-12-07 16:07:47,1
00:6a:6f:01:1f:0a,Family_703,-57.7,1,2412,WPA2/WPA3,Ubiquiti,2025-12-07 16:07:47,0
a5:b6:31:cf:6b:53,WiFi_Free,-31.1,12,2467,,Public,2025-12-07 16:07:47,1
c1:04:2e:7d:d4:86,WLAN_642,-49.8,157,5785,WPA2,Netgear,2025-12-07 16:07:47,0
78:00:b5:52:d5:57,Work_335,-44.9,40,5200,WPA3,Samsung,2025-12-07 16:07:47,0
40:00:e3:3a:2e:b0,Guest_262,-30.3,149,5745,WPA2,Qualcomm,2025-12-07 16:07:47,0
aa:24:cb:37:01:77,Private_160,-68.5,149,5745,WPA3,Amazon,2025-12-07 16:07:47,0
39:47:29:e1:20:75,Company_727,-62.3,161,5805,WPA3,Belkin,2025-12-07 16:07:47,0
a6:17:ac:b6:f1:7b,Staff_390,-54.8,157,5785,WPA3,Buffalo,2025-12-07 16:07:47,0
c4:61:89:5c:d5:0a,Public_Access,-33.4,7,2442,WEP,Unknown,2025-12-07 16:07:47,1
ff:54:05:48:01:83,Main_751,-21.8,44,5220,WPA,Apple,2025-12-07 16:07:47,0
7e:0a:f6:77:8d:ae,Corporate_203,-53.6,153,5765,WPA2,Buffalo,2025-12-07 16:07:47,0
6a:29:ab:1c:ba:1a,Office_WiFi_544,-49.1,40,5200,WPA,Motorola,2025-12-07 16:07:47,0
